rowid,date,client,bank,rating,review,sentiment,service,issue
182,2022-10-31 08:27:52,Apple,Trust,5.0,"While I want to open account until my info, after I agree then always show me something wrong please try later, even I uninstall and install or open my phone still cannot, what the hell?",Neutral,Banking,Technical glitches
183,2024-02-15 15:16:29,Apple,Trust,1.0,Application pending status for a long time. It’s been over an hour. I called customer service & was told they can’t do anything as it’s up to the internal team & that NORMAL approval process can take 3 mins up to 5 working days!!! There seems to be inconsistencies coz my friends said their application was approved immediately within minutes even when they applied it on a public holiday at night. I’m really disappointed. Don’t even feel like signing up now.,Negative,Banking,Long wait times
184,2022-09-23 14:50:19,Apple,Trust,5.0,"Love the app, espcially due to it's convenient. I can track the point every day, with ocbc its always a surprise and it makes me spend more because I don't want to loose on bonuses. Will be good to show us the update in real-time and not few days later",Positive,App,-
185,2022-10-23 11:53:05,Apple,Trust,3.0,"It is most annoying that one MUST switch on the notifications for this app. The amount of unnecessary adverts is frustrating and yet we are not allowed to switch off notifications. 
And the app is too slow. Takes too long to startup! Get rid of fancy app intro and let us enter the app more easily.",Negative,App,Other
186,2023-01-20 03:04:01,Apple,Trust,5.0,"the card is informative . it provides info such as how much more to spend outside NTUC to qualify for the bonus .

it will be good if it can also prompt us expiring coupons 4-5 days before expiry so that we do not miss out the promotion or offer .",Neutral,App,Other
187,2022-09-19 01:29:12,Apple,Trust,4.0,"I tried opening the application on iPhone 14 Pro but its showing a message ""Sorry, something went wrong. Please try again later. Tried restarting my phone but problem is not solved. I am able to open it on my other phone but not on this new phone.",Neutral,App,Technical glitches
188,2022-12-26 07:22:06,Apple,Trust,1.0,"They take 5 mins minimally each time for them to respond to each question or feedback I gave, and I got to ask if they are there in order to know they are still assisting me. But the best part is when they can’t address your issue, their best solution - ask you if there is anything else they can assist you with, and in a blink of any eye, the CS quickly end the chat without giving you a chance to respond. Amazingly amazed!",Negative,App,Other
189,2022-09-05 16:58:11,Apple,Trust,5.0,"After i submit my info , i am stucked at the notification page and the app Trust is not on my notification center to on notification either. Please do something to fit it. Thank you",Negative,App,Technical glitches
190,2022-10-05 01:15:12,Apple,Trust,1.0,"I change to a new phone few days after i create an account in the apps. 
Try to use the new phone to login to the apps. There are only 1 option to login which is through Singpass but whenever i try, the app was showing “We are unable to log you in with Singpass right now. Please try again later”. However from the apps, this is the only way to login. Called customer service several time but no one answering the call.",Neutral,App,Login issues
191,2023-03-11 06:42:12,Apple,Trust,1.0,"One of the benefits that digital banking supposed to give to it's users is to allow usage of financial services even out of Singapore. Traveling is back to norm and it's getting common, yet trust bank disallows users to apply a credit card when traveling out of Singapore. This made this digital bank worst off than traditional banks that allows users to have access to digital services when traveling out of Singapore.",Positive,App,-
192,2022-09-25 11:41:57,Apple,Trust,5.0,"While downloading, I pressed “No” for notifications n this App just hang asking me to enable but there is no way to do it as the picture of an ice cream man just stuck there. Cannot do anything. I try to down load app again. It is still the same. Pl advise.",Neutral,App,Registration and setup
193,2022-09-24 06:23:33,Apple,Trust,5.0,"This is the worst app I’ve ever used. After my application was successful, I was prompted to login. My credentials were accepted but the app took forever to load and does not allow me to reach the landing page. Super bad experience",Negative,App,Technical glitches
194,2022-12-14 12:45:05,Apple,Trust,5.0,"cos we dont have togo through the hassle of going to the bank etc. to make an acc and its really fast,still have to wait for the lhysical card but i like how my acc is activated literally after i created it,fast and efficient,but i do hope the physical c",Neutral,App,None
195,2022-10-13 17:04:53,Apple,Trust,1.0,"Waste of time actually. Standard chartered. Horrible bank. Truly recommend all local banks instead. Or Citibank. And not many branches as well. Yeap and I agree with the pending verifications. Why do U need such a long time ?In any case, real happy that I have deleted the app and in fact, after taking personal details I feel paranoid actually. Do give u my personal information when your app has so many bad feedbacks. How did SingPass ever approved a nonsense app like this",Negative,App,Other
196,2022-09-16 00:49:08,Apple,Trust,1.0,"Very stupid app. Approved on Friday 09/09. Can’t load since then after login. Delete and redownload again and again but still unable to load. Thereafter, can’t even go through after login via Singpass. ‘We are unable to log you in via Singpass right now. We are working on it, please try again later’ Trust but cannot be trusted. Waste time.

***updated 16/09***
Followed ur advise in the reply and able to login now. Still find it stupid though. Thanks for the response anyways",Negative,App,Technical glitches
197,2024-02-23 03:09:28,Apple,Trust,4.0,Still long time pending request as future dated schedule payment option -please consider as it helps to pre plan the payment -please consider as keep asking long time same request,Negative,Banking,Other
198,2022-12-19 16:10:31,Apple,Trust,2.0,"Not sure if I am the only one. This is my second month with Trust. To date, I still haven’t got my Dec statement in any app. After speaking to customer service, still nothing is updated. And I was told my due date is 28 Dec. Pls keep data updated and this concerns dollars and cents. And being a digital bank, this is more so important cos users are dependent on the app.",Neutral,App,Account issues
199,2022-11-05 08:11:19,Apple,Trust,1.0,"The first month 7.5% rebate has been missing simply after a few days. There’s no clear indication that it’s by calendar month. Means if you sign up near the end of the month, u are out of luck. Due to heavy promotion activities there’s a lot of demand for this card. But I see long term risk with this bank as there’s no clear customer service, support or even a proper website with the bank. It’s all going through the phone app.",Negative,Banking,Interest rate concerns
200,2022-10-05 19:47:18,Apple,Trust,1.0,"I have been using its credit card for a month and have been trying to pay the bill but to my horror, this app always stop me from adding its credit card account as payee. Kept saying my trust key is wrong and need to reset, then wait 12hrs per reset. When I tried to add payee on other banks’ app, they do not recognize trust bank. If the credit bill payment went overdue due to your lousy bank error, I will complain to CASE!",Neutral,App,Difficulty applying credit card
201,2022-09-10 02:24:50,Apple,Trust,1.0,"The moment I logged in, they ask me to create a credit card and when I cancelled it. The app takes forever to load when I logged in again to create a savings account. The app does nothing but just send dozens of emails and SMSes saying that I no longer can connect to the old device when it’s the same device. This isn’t possible cos I allowed the app to collect info and send me notifications all the time.",Neutral,App,Registration and setup
202,2023-12-06 06:44:34,Apple,Trust,2.0,"Good exchange rates. Simple app. 

However the in-app chat CS is downright pathetic. She can’t understand my question after repeating myself THREE times, copy and pastes answers like a bot, and cuts the conversation short even though she never answered my question and didn’t give me a chance to respond. Just pastes an answer then says “if that’s all, I’ll be ending this chat.” And proceeds to quit the chat in less than 2 seconds.",Positive,App,-
203,2023-02-21 12:05:11,Apple,Trust,1.0,"I applied for the credit card on the 1st day and till date, still has not been approved with multiple calls to their support with no resolution and multiple uninstall/reinstallation of the app as advised by their support. Every time they promised that there will be someone calling me back to update the situation but it has never happened. I give up. The scam calls that I get have better response than this.",Positive,Banking,-
204,2023-03-01 12:28:34,Apple,Trust,5.0,"jus realised the mascots for each category vary in size depending on how much you spent, that’s so cute! since i’m using this card almost everyday all my expenses are recorded LOL saved the trouble of accounting in another app, great job on this!!",Neutral,App,Other
205,2022-09-18 01:42:21,Apple,Trust,1.0,"Said to offer instant approval, it took 2 weeks to receive approval of savings account, after some irrelevant “verification”.

Wanted to move the sign-in of APP from iPad Air to my iPhone, was told by the in-APP team to delete my installation on iPad first which I did. Now I am locked out totally, even with the latest 1.0.7 update. 

Only mean to communicate with Trust Bank is via the help desk, which said will revert within 3 business days. Surely the bank can do much better?!",Negative,Banking,Long wait times
206,2023-02-01 06:17:47,Apple,Trust,5.0,"Initially I thought the card would be useful for basically my shopping at NTUC. Soon I realised that there is a lot more to the card then just that. 
- convenience of card payment
- excellent vouchers and promotions
- no charge on forex transactions

I think the last point should be emphasised in marketing efforts as that is really a benefit especially for online bookings for holidays as well as use the same when on foreign trips. Even for children studying overseas this would be beneficial.",Neutral,App,None
207,2022-11-09 18:31:15,Apple,Trust,1.0,"Referred friends to sign up, was issued the $10 FairPrice voucher but when I wanted to redeem at FairPrice, was told that the voucher was already redeemed before. Approach their super slow, inefficient and ineffective CS chat team, was told they will get back to me, which they didn’t. Worst, they like to close the chat and mark it as resolved each time just to achieve their service levels. This bank is crap. I will stop recommending my friends.",Positive,App,-
208,2023-03-04 02:32:08,Apple,Trust,1.0,I have a Trust saving account which is used to honour transactions purchased using Trust card. I noticed that all transactions tend to be in pending status and it took a couple of days for transactions to change to complete status. This issue need to be addressed by the developer as it derive user additional bonus interest. Transactions debited from saving should be complete status as funds already deducted from saving account.,Neutral,Banking,Transaction issues
209,2022-12-24 03:43:34,Apple,Trust,1.0,"I have been paying my bills before the stated date, and suddenly i got slammed with interest fees?! And I wasn’t informed that i had interest fees pending until I accidentally went into the app to see one day and realised i owed them money. I asked the in app CS chat and was informed it was cos i made partial payment and interest cannot be waived. Is that how you make money? I am cancelling the card. If you guys want link points, you can just download the NTUC app to get it.",Neutral,Banking,Interest rate concerns
210,2023-05-14 02:52:47,Apple,Trust,1.0,"Able to open bank account within a few minutes, however it is annoying that it send multiple notifications that you can’t disable, like a spam. That’s the only one feature keep annoying me every time I make a payment. Contacted support a few times but no positive reply, keep saying it’s a feature and nothing more can be done.",Positive,App,-
211,2023-01-30 10:35:44,Apple,Trust,1.0,"Working in a bank and IT myself, I’ve never seen this so inefficient and so troublesome customer service. Chat starts for more than 2 mins, and if you’re already idle for more than a minute, customer service agent will end your convo. What is this?! My card has been blocked for 3 months and until now I don’t have any proper conversation nor resolution to my case. Wouldn’t recommend to my friends.",Neutral,Banking,Long wait times
212,2022-09-29 08:51:30,Apple,Trust,5.0,"Super fast, easy to use, attractive reward programs, will definitely recommend to everyone around me. One suggestion though, get the GIRO pay and allow me to do schedule payment",Positive,App,-
213,2022-09-24 14:30:02,Apple,Trust,5.0,"I signed up because I thought it's free, got a credit card in 4 minute, love it! Getting good interest on savings but the $450 minimum spend criteria is not for me.. I wish I only used the savings account",Neutral,App,Savings account
214,2022-09-30 10:32:11,Apple,Trust,5.0,The interface is super clean and a lot more straightforward compared to other banks. Would be great to support scan & pay so I don't need to switch to other banks,Positive,App,-
215,2023-11-07 06:17:27,Apple,Trust,1.0,"One big flaw of Trust Bank app is the inability to automatically mark the voucher as “Redeemed” after using it. Users have to manually mark it as redeemed. This obviously raise possibility of human errors, and bringing inconvenience. 

Thousands of applications have successfully implemented this feature for the voucher to be automatically deleted from your account upon usage, but Trust Bank SG thought it was a good initiative to leave this out.",Negative,App,Other
216,2023-10-23 06:45:49,Apple,Trust,2.0,"Changed my phone 3 days ago.. multiple time trying to login TRUST app, but it’s not trust worthy.  Keep getting error message “ We are unable to log you in with
Singpass right now
We are working on it, please try again later.”, 

Call customer hotline after 3 days… but was told to wait 3 working for technical team to fix the issue?",Negative,App,Login issues
217,2022-09-28 15:30:47,Apple,Trust,3.0,"After logging in, my account is stuck on the loading page. 
Have tried restarting my phone, uninstalled and installed the app a few times, had to set new passcodes a each time.
Still can’t seem to get the app to work.

Can anyone help? Thanks",Negative,Banking,Technical glitches
218,2023-11-10 01:55:52,Apple,Trust,4.0,"Dear Trust team
,  Can you pls fix this issue? It happened many times!!! About cannot use Trust Key in the app. When I input a new password, its says “something went wrong”.. many times. Why are we allowed to only use Face ID? Pls look into it. Thanks a lot!",Negative,Banking,Technical glitches
219,2022-09-19 09:00:13,Apple,Trust,5.0,Get their credit card first then the savings account. Works fine for me and I really like the coupons feature!,Neutral,App,None
220,2022-09-03 06:18:03,Apple,Trust,3.0,"Well I downloaded it after rave reviews..signup was easy with my info..I opted for CC and after getting my info the app just froze saying pending review and will know outcome in 3 days..I thought of opening savings acct too which I couldn’t..Not sure why everyone’s saying Instant and how great etc., At best I find it ok so far..",Positive,App,-
221,2023-09-16 10:34:31,Apple,Trust,1.0,"After I returned from overseas, I realised I cannot log into the app. Using SingPass also cannot, error message is just “We are unable to log you in with SingPass right now” “We are working on it, please try again later.” 

Where is the passcode login option? Why am I not able to login even though I’ve had an account since last year?",Neutral,Banking,Technical glitches
222,2023-12-24 09:20:53,Apple,Trust,5.0,Many friends had good experiences with this card and functions. I signed up during the recent promo and got my ntuc voucher. Easy to sign up and use. Happy to recommend to friends.,Positive,App,-
223,2022-09-04 12:57:34,Apple,Trust,4.0,"Can’t open a credit card account if you open a savings account first. The other way seems to
work. Clean and nice interface otherwise.",Negative,Banking,Account creation
224,2023-05-07 04:19:14,Apple,Trust,5.0,"I find it difficulty in using your apps. Though I now supported your card and always pay with ur apps card , I find it is not very user friendly to the layman.",Negative,App,UI/UX
225,2023-09-20 23:29:58,Apple,Trust,4.0,"Just got approved for the account & need to update my contact details. But somehow kicked out of the app & when tried to login again it said UNABLE TO LOG ME IN. 

What if i need urgent transaction. Not happy with it. Not reliable at all.",Positive,App,-
226,2023-08-01 06:55:59,Apple,Trust,1.0,"This digital bank Trust rewards come with all sort of fine prints that’s misleading. e.g., redemption of coffee / tea at kopitiam is only applicable to some outlets. And the saving interest rate of this digital bank also filled with fine prints, making life difficult for customers having to perform activities for the bonus interest. There’s better digital banks out there, google for it and avoid this one for sure!",Positive,App,-
227,2023-03-04 10:15:19,Apple,Trust,1.0,"While I appreciate the effort to make the design fresh and modern, I find it difficult to navigate the app. I often get lost when trying to find coupons for FairPrice or checking my latest transactions. Tapping something brings you somewhere you dont know, and feels like the only way to get there is to tap Home and retrace your step. What more if I have to do a qr payment?",Neutral,App,UI/UX
228,2023-01-08 06:54:54,Apple,Trust,1.0,"I had downloaded this app about 3 months ago. It seem to work fine, for pass 3 months ago. By recognise via face unlocked, each time I try to check transaction on my mobile. 
Recently I realised the face recognise. Doesn’t work anymore! Which I had to input password each time. I had check my setting on my mobile Face ID recognise are switch on. Please fix this errors.",Neutral,App,Login issues
229,2022-12-20 09:57:11,Apple,Trust,5.0,After linking my singpass to register and clicking ‘I Agree’ there’s a pop-up says something went wrong. please try again later.,Neutral,App,Technical glitches
230,2022-10-15 15:56:31,Apple,Trust,5.0,"Received email saying I am in after long application pending for credit card. But it says I am not on when I try to login. Called customer service, no help.",Positive,App,-
231,2022-09-19 08:50:13,Apple,Trust,5.0,The app’s navigation was confusing at first but I appreciate seeing the Rewards up front instead of having to hunt for it like other banks app do.,Neutral,App,UI/UX
232,2024-01-28 23:46:32,Apple,Trust,5.0,The payment notification approval does not say anything about what to approve what amount which merchant...a very dangerous feature...especially with card hijacking.,Neutral,App,Other
233,2022-09-10 14:40:46,Apple,Trust,5.0,I helped my mom get their savings account. Seems decent for seniors. Even their debit card can get linkpoints. Good enough la since i don’t shop at ntuc that often. Something better than nothing.,Neutral,Banking,None
234,2022-10-01 07:05:59,Apple,Trust,1.0,"App doesnt work and credit card isnt instant approval and it causes other apps to have issues. App probably got bugs. Also; your singpass may be affected, well at least mine did. Download at your own risk.

Update: So my singpass did get affected and its due to bugs from this app. Its also constantly retrieving your details and messes up your details and information. High risk and im never trusting this UNTRUSTED App or bank again.",Negative,App,Technical glitches
235,2022-09-04 05:40:34,Apple,Trust,5.0,I can’t seem to add credit card after I open a savings account. Online chat or call got no response either.,Neutral,App,Difficulty applying credit card
236,2023-11-22 17:15:14,Apple,Trust,1.0,It’s easy to get slapped with a late payment charge. Funny thing is the app notification tells you are have been slapped with a penalty but doesn’t remind you to make payment. What’s more they only waive the penalty for one time..2nd time and there’s no more waiver. A $100 slapped for a $14 spend on the card. Ridiculous. Effinn ridiculous. That’s how this ‘bank’ makes money by low infrastructure cost and inflexible policies,Negative,Banking,Other
237,2022-09-12 14:41:20,Apple,Trust,5.0,There are still some kinks to iron out with the linkpoints process in store especially since I’m only using the digital card. But app wise it’s user friendly.,Negative,App,Other
238,2022-09-02 11:29:40,Apple,Trust,1.0,"Cannot seem to login to the app. It just keeps loading and loading and loading after i entered my details. Tried so many times but there is no other ways to get help because firstly, to get help you need to be ""inside"" the app to chat with their support but how am i even be able to be ""inside"" their app to get help about a login problem?",Negative,App,Login issues
239,2023-01-01 02:31:01,Apple,Trust,1.0,You’re better off using the services of other banks. Seems like the entire venture was suddenly thrown at personnel members so they were not at all prepared nor willing to help with the difficulties you encountered. No point going to their parent bank either for help. Tried to give it a chance even after reading the negative reviews but the reviews were not proven otherwise.,Negative,Banking,Other
240,2022-10-27 23:23:07,Apple,Trust,1.0,"call wait for 2 hrs on hold no one pick up, chat leave a message 2-3 hours later reply within few mins no response everything ended as if as nothing happened??? transaction took times to load and reflected so slow compared to my other bank card this Bank os open to scam and delay your payment STAY AWAY! No one will help you on this as you cant get hold of anyone!",Negative,Banking,Long wait times
241,2022-10-11 13:04:03,Apple,Trust,2.0,"I can’t believe that this basic function to pay Trust credit card by selecting the card to pay is unavailable.
I have to create payee just like this card is a different bank. Now the transaction is stuck, the app is showing blinking Trust logo for over 10 mins.",Negative,App,Difficulty applying credit card
242,2022-09-01 04:02:38,Apple,Trust,5.0,My credit card and saving account are available in 3 minutes! can’t wait to use it to get my NTUC linkpoints!,Positive,Banking,-
243,2022-09-30 10:16:09,Apple,Trust,5.0,Paynow without scan and pay function kind of useless. Please do something about it 🤦🏻‍♂️,Negative,App,Other
244,2024-01-01 01:36:11,Apple,Trust,3.0,"This app forces you to turn notifications for transactions and rewards which im totally fine with it. However, their definition of rewards includes promotion notifications which is extremely annoying.",Negative,App,Other
245,2022-09-01 06:16:31,Apple,Trust,5.0,The app is amazing! The products and services offered are great and to open an account in a couple of minutes. It’s a far cry from standing in the queue at an actual bank! Awesome app Trust Bank!,Positive,App,-
246,2022-09-02 02:38:17,Apple,Trust,4.0,"I was given credit or savings account to choose.

I chose savings and my friend chose credit.

My friend who chose credit card can then apply for savings at more info.

For me who chose savings account first cannot apply for credit card at more info.

It says credit card is launching soon. But my friend already got the credit card.

For savings accounts. I think it needs to give proper instruction to how to top up or transfer money into it e.g bank transfer etc.",Neutral,Banking,Other
247,2022-09-16 10:28:59,Apple,Trust,5.0,"Just migrated to new iPhone, and it shows error not working. And a blank white screen.

I am satisfied with the quality until this.",Negative,App,Technical glitches
248,2022-09-09 14:53:47,Apple,Trust,5.0,"Thanks for the copy feature for the card number, makes it easier since I just learnt that your physical card is numberless.",Positive,App,-
249,2022-09-28 05:09:33,Apple,Trust,5.0,"Like the app but I'm having issues with login recently, sometimes it doesn't work and during lunch hours it's a bit slow",Negative,App,Login issues
250,2022-09-19 17:06:14,Apple,Trust,4.0,"Hi, I’ve just successfully signed up for the card but I can’t seems to login, when login time it’s still loading for quite some time. Please help to resolve the issue, I’m using iPhone. Thanks",Positive,Signup,-
251,2024-01-04 12:41:32,Apple,Trust,3.0,"After tapping on notification cards triggered by Trust app, it merely launches the app and displays landing page; it should show the notification that user tapped on. Failed user experience!",Neutral,App,UI/UX
252,2023-03-14 14:34:53,Apple,Trust,5.0,"There are many different vouchers available and so far Trust app has been good! Easy to use, sleek design. Thank you!",Positive,App,-
253,2022-09-01 05:30:54,Apple,Trust,5.0,"3 min to set up account. Credit card linked to apple pay. 

This should be the way banks should work!",Neutral,App,None
254,2022-09-23 15:01:32,Apple,Trust,5.0,"I have been union member for more than 5 years and this is first time I feel that I'm getting rewarded.. Premium experience, good base interest and good savings at fairprice.. What more do you need, good job!",Neutral,Banking,None
255,2023-08-21 06:30:05,Apple,Trust,1.0,You should not trigger your security system to block a login attempt immediately when on a second device. Instead security measures should be in place to ensure the person logging in is legit. I’m changing to a new device and now both devices are locked out and I have to wait for your team to get back to me. How absurd this is.,Negative,App,Login issues
256,2022-09-19 09:07:38,Apple,Trust,5.0,The app has a good design and the savings account offering is simple. 1% doing nothing is already higher than most others out there.,Positive,App,-
257,2022-08-31 14:42:46,Apple,Trust,5.0,"Super quick and pleasant sign up, really loved the little animations. Best of all, I don’t have to do a lot stuff to get 1.2% interest on my money. Yay thanks for the Viu coupon!",Positive,App,-
258,2022-12-31 00:22:46,Apple,Trust,5.0,Awesome debit card ever especially those coupons and link points really save using trust card,Positive,App,-
259,2023-10-05 03:15:57,Apple,Trust,2.0,"Just changed to a new phone and I lost access to the app. I am unable to login from SingPass. Already called twice to customer helpline and both times I’m told that they will reset for me. However, both times fail for me and I’m still unable to access the app. Need help please.",Negative,App,Login issues
260,2023-05-06 08:22:06,Apple,Trust,4.0,Have difficulty using my other accounts (such as Citibank) to pay off the card bill. No trust bank selection,Negative,Banking,Other
261,2022-09-01 03:32:37,Apple,Trust,5.0,The interface is easy to use and navigate. Application process was a breeze and approved immediately.,Positive,App,-
262,2023-06-12 03:25:33,Apple,Trust,5.0,"Was having some issues w the TRUST app and decided to connect with TRUST via FB. 
The person who assisted me was v patient and knowledgeable in helping me to resolve my issues. Thanks!!",Negative,App,None
263,2022-09-24 14:22:49,Apple,Trust,5.0,Banking with rewards is what everyone should do but others bank hide the rewards.. I'm waiting for more deals like burger king,Positive,Banking,-
264,2022-09-22 10:44:53,Apple,Trust,5.0,"Saw their ad on the FP app promoting Trust. Installed and applied for the credit card and got it in a few minutes. I added the card back into the FP app and woohoo, really seamless.",Neutral,App,None
265,2022-09-23 14:45:00,Apple,Trust,5.0,"Such a great app, short and sweet. Show only what you need to see and not like SCB that bombord you with full page ads everytime you open the app",Positive,App,-
266,2023-02-24 12:06:52,Apple,Trust,4.0,"The app pushes ads to you even if you opt out of them in the app settings. Disabling app notifications entirely is also not allowed. Doesn’t exactly inspire trust, does it?",Negative,App,Other
267,2022-09-30 05:56:03,Apple,Trust,1.0,申請了一個月多也在审核之中，想說的是我人品不好？还是運氣差？我有几個朋友，有的是成功，有的是审核失敗，我是进退两难,Neutral,Banking,Other
268,2022-09-08 12:13:58,Apple,Trust,5.0,"From account opening, to making my 1st transaction on my card via apple pay in 5 minutes flat…. Bang!",Positive,Banking,-
269,2022-09-08 14:02:49,Apple,Trust,5.0,"Just got their savings account, it’s quite basic but UI is nice. Would be nice to be able to segregrate my money like ocbc’s goals.",Neutral,Banking,Other
270,2023-05-07 12:22:47,Apple,Trust,1.0,App keep sending wrong dated transactions. It’s really tiring to have card usage messages at midnight or Sunday when you don’t use your card and value appear on wrong day. I contacted customer service and they said this value spend 3 days ago. Place put  transaction on correct date. Soon I will stop using this bank,Negative,Banking,Other
271,2022-11-01 04:03:37,Apple,Trust,4.0,"Last night I was at an NTUC cashier, the NTUC e-voucher just wouldn't show up.
This morning I checked again, it's still here. 
Can't really trust electronic vouchers completely.",Neutral,Banking,Technical glitches
272,2022-12-14 12:58:12,Apple,Trust,5.0,"Because the app is well developed, and everything seems new. I personally trust this app and will recommend it to friends",Positive,App,-
273,2023-09-01 08:29:24,Apple,Trust,1.0,"The service is too bad. It's a waste of my time. I applied for more than a week. After waiting for so long, he told me to delete the software. I will apply after two weeks, and then I have to wait again. 
If you can't pass at the beginning, reply immediately. I'm not so angry. It's a waste of time to wait so long to notify you.",Negative,Banking,Long wait times
274,2023-03-08 13:07:43,Apple,Trust,4.0,"It will be good if you can learn from Revolut. Eg, have a ‘vault’ that we can save up spare change n earn interest whenever we buy something. Or enable us to do some investment saving on regular basis.",Neutral,App,Other
275,2022-11-26 08:21:42,Apple,Trust,5.0,"I like the discounts, vouchers and transactions that are made so convenient for members to handle whether it is for credit card or bank transaction. 👍🏼",Positive,App,-
276,2022-09-24 06:44:12,Apple,Trust,5.0,"Everytime open the app I’m prompted to create login passcode ?! 
And the app doesn’t open my account 
It kept launching",Neutral,App,Login issues
277,2022-09-29 10:57:17,Apple,Trust,3.0,"Overall usage is good, seamless and hasslefree. Only downside is the app doesnt load and it gets stuck on the trust logo. Had to close the app and repeat several times for it to load. Pls fix this issue.",Positive,App,-
278,2022-09-10 04:44:53,Apple,Trust,2.0,I applied for the card and got instant approval. You gave me higher limit and could not change limit in app. So I cancelled card to reapply with lower limit. Now it won’t let me log on into app and it just shows me logo with loading. Tried calling hotline for hours on multiple location with no luck.,Positive,Banking,-
279,2022-10-27 01:34:34,Apple,Trust,1.0,What’s the point of the notification counter when there is nothing to see when I go into the App? Just frustrate the user to log in and cannot find what the App is trying to notify me on. Please remove the counter or follow other App to have a dedicated place to check all the notifications. Very very frustrating…,Neutral,App,UI/UX
280,2022-09-28 07:42:01,Apple,Trust,1.0,"The app asked to set up two factor authentication. But after the pin is entered, it says something went wrong. The app hasn’t been working for me for the past 3 days despite deleting and re downloading the app. Now I can’t even login because “something went wrong. We’re working on it, please try again later. “",Neutral,App,Technical glitches
281,2022-09-18 14:49:07,Apple,Trust,3.0,"Hi there , is it possible to auto change the status of the redeemed coupons ?? Currently have to manually change the status of the coupons used.",Neutral,App,Other
282,2023-01-27 19:03:05,Apple,Trust,1.0,Trust is literally 50-50 a scam. I have deposited money into the account and redrew money as well and soon later my whole account was locked. When called customer support I was told I’m being suspected for illegal activities! Please think twice about using trust. Really don’t waste your time or lose your money with them.,Negative,Banking,Account issues
283,2022-11-30 03:35:09,Apple,Trust,4.0,"So far is been good to me, using it is very problem free. Just that sometimes will face some small issue. Hopefully you guys have PayNow in QR side in the future. It will be more easier to use.",Positive,App,-
284,2022-11-05 00:51:27,Apple,Trust,1.0,"After downloading the app, wanted to set up the account, both options of “referral”and “sign-up” were unable to proceed. Pop up box that says system maintenance on 30 Oct 12am-5am is ongoing. It is 5 Nov already.  We are still not able to sign-up on the app.  Surely maintenance would have been completed by now??",Neutral,App,Registration and setup
285,2022-09-20 07:15:54,Apple,Trust,5.0,I love how simple the app is. If Trust brings in more and relevant partners for good discounts I will definitely continue using this. Will recommend to friends and colleagues.,Positive,App,-
286,2022-09-19 11:46:30,Apple,Trust,5.0,Thumbs up for the onboarding process. Smooth and Seamless. Card can directly use. Rewards get updated. All in real time. Impressive! This is the true digital apps!,Positive,App,-
287,2022-09-09 15:01:54,Apple,Trust,5.0,"Redeemed my rice coupon at NTUC. Initially the cashier was hesitant however tried to scan the barcode and it worked. Trust, please train the NTUC staff more, but hey managed to get the rice in the end.",Neutral,App,None
288,2022-09-01 04:15:45,Apple,Trust,5.0,Onboarded really quickly and like that the interface is light and not too corporate,Positive,App,-
289,2023-05-26 06:37:18,Apple,Trust,3.0,"I would love to give 5 stars however they are still rooms for improvement.
Firstly, I got notifications, but when I open the app, I don’t know which are the notifications, kind of stupid.
secondly, very limited services.",Negative,App,UI/UX
290,2023-11-01 17:46:38,Apple,Trust,1.0,"Beware of late fee trap, easily costing you $100 without Giro payment option. Warning!!!!!!

The CS are so rigid and robotic. The only thing they were helpful with was telling me how to cancel the card: 1. Hit the profile icon at the top right corner 2. Select “Settings” 3. Select “Close credit card” 4. Select “Next” 5. Select “Next” 6. Select “Next” & Reasons 7. Hit “Confirm” 8. Completion",Negative,Banking,Other
291,2023-03-28 03:06:58,Apple,Trust,1.0,Because there is absolutely zero actions taken by you. I’ve complained three times on the privacy intrusion to sending notifications despite the toggle is off. Why!? Why!? Is this the way your gaining half an million customers and celebrate the TRUST. Perhaps a complain to PDPA in this case to investigate,Negative,Banking,Other
292,2022-12-17 14:29:11,Apple,Trust,5.0,Simple and convenient way to manage money.,Positive,App,-
293,2024-01-18 10:44:49,Apple,Trust,5.0,I am glad you don’t resort to faking your 5* review using your staff like a competing bank. Keep up the good work,Positive,User rating,-
294,2022-09-02 10:12:46,Apple,Trust,4.0,Tried 3 times and still same issue . Pls test and release and don’t waste our time. Wasted 1 hour,Negative,App,Technical glitches
295,2023-03-11 10:26:49,Apple,Trust,5.0,I find it so user friendly when applying it to invite friends to sign up for a reward.,Positive,App,-
296,2022-12-10 06:49:47,Apple,Trust,4.0,There is no option for me to apply for a new Savings acc after I have successfully applied for the credit card.,Negative,Banking,Other
297,2022-09-27 14:55:30,Apple,Trust,1.0,"After the system link to Myinfo, there is a pop out msg “sorry, something went wrong. Pls try again later”. I do not know what wrong, but I think it might be because my date of birth on my ic is just 1956, without date and month.  Kindly pls check is it due to that reason. Thanks",Neutral,App,"Difficulty applying credit card, savings account"
298,2024-03-11 19:03:28,Apple,Trust,3.0,"Everytime I try to do anything in Trust Wallet, this Trust Bank App opens up instead. Frustrating, and I have to delete this app, finish with the other wallet, then re download this app. Please change the app name to Trust Bank.",Negative,App,Other
299,2024-01-05 02:29:25,Apple,Trust,1.0,What’s the point of a digital bank if you do not have an immediate response team? We trust you with handling our money but you take so long to unlock our accounts. I have a family to feed but all my money is in my locked account. This is a breach and should be reported to higher authorities.,Negative,Banking,Long wait times
