rowid,bank,sentiment,problem_category,issue
877, GXS, Negative,banking,account issues
878, GXS, Negative,app,other
879, GXS, Positive,app,
880, GXS, Negative,app,technical difficulties during registration and setup
881, GXS, Neutral,app,login issues
882, GXS, Negative,app,technical glitches
883, GXS, Negative,app,login issues
884, GXS, Neutral,banking,Interest rate concerns
885, GXS, Negative,app,other
886, GXS, Negative,app,technical glitches
887, GXS, Negative,banking,other
888, GXS, Positive,app,
889, GXS, Neutral,app,Difficulty applying
890, GXS, Neutral,app,technical glitches
891, GXS, Negative,app,other
892, GXS, Negative,app,technical difficulties during registration and setup
893, GXS, Positive,app,
894, GXS, Neutral,banking,application rejection
895, Trust, Positive,none,
896, Trust, Negative,banking,technical issues
897, Trust, Negative,banking,other
898, Trust, Positive,none,
899, Trust, Positive,app,
900, Trust, Positive,,
901, Trust, Positive,banking,
902, Trust, Positive,app,
903, Trust, Positive,app,
904, Trust, Positive,app,
905, Trust, Positive,app,
906, Trust, Neutral,bank,other
907, Trust, Negative,banking,technical glitches
908, Trust, Positive,app,
909, Trust, Positive,banking,
910, Trust, Positive,app,
911, Trust, Positive,app,
912, Trust, Neutral,app,Difficulty applying credit card
913, Trust, Neutral,banking,none
914, Trust, Positive,app,
915, Trust, Positive,app,
916, Trust, Neutral,app,other
917, Trust, Negative,app,other
918, Trust, Positive,app,
919, Trust, Neutral,app,other
920, Trust, Negative,banking,technical issues
921, Trust, Positive,app,
922, Trust, Negative,banking,other
923, Trust, Negative,banking,fraudulent
924, Trust, Negative,app,technical glitches
925, Trust, Positive,app,
926, Trust, Negative,app,UI/UX
927, Trust, Neutral,new_user,
928, Trust, Negative,app,other
929, Trust, Negative,banking,other
930, Trust, Negative,app,other
931, Trust, Negative,app,other
932, Trust, Positive,app,
933, Trust, Negative,banking,technical issues
934, Trust, Negative,banking,other
935, Trust, Positive,none,
936, Trust, Negative,banking,other
937, Trust, Positive,app,
938, Trust, Negative,app,other
939, Trust, Positive,app,
940, Trust, Negative,app,technical difficulties during registration and setup
941, Trust, Positive,app,
942, Trust, Positive,none,
943, Trust, Positive,app,
944, Trust, Negative,banking,technical glitches
945, Trust, Negative,app,technical glitches
946, Trust, Negative,app,UI/UX
947, Trust, Negative,app,login issues
948, Trust, Negative,banking,technical glitches
949, Trust, Neutral,app,other
950, Trust, Positive,none,
951, Trust, Positive,app,
952, Trust, Negative,bank,other
953, Trust, Negative,app,other
954, Trust, Negative,banking,other
955, Trust, Neutral,app,other
956, Trust, Positive,app,
957, Trust, Positive,app,
958, Trust, Positive,app,
959, Trust, Negative,app,login issues
960, Trust, Positive,app,
961, Trust, Positive,app,
962, Trust, Neutral,banking,other
963, Trust, Negative,app,other
964, Trust, Negative,app,other
965, Trust, Negative,app,technical glitches
966, Trust, Negative,app,other
967, Trust, Negative,banking,technical glitches
968, Trust, Positive,app,
969, Trust, Negative,app,Difficulty applying credit card
970, Trust, Negative,app,technical glitches
971, Trust, Negative,banking,technical glitches
972, Trust, Negative,app,technical glitches
973, Trust, Positive,app,
974, Trust, Positive,app,
975, Trust, Neutral,app,other
976, Trust, Neutral,app,other
977, Trust, Negative,app,technical difficulties during registration and setup
978, Trust, Negative,app,other
979, Trust, Negative,app,technical glitches
980, Trust, Neutral,app,other
981, Trust, Neutral,app,other
982, Trust, Negative,bank,other
983, Trust, Negative,banking,other
984, Trust, Positive,app,
985, Trust, Negative,app,UI/UX
986, Trust, Neutral,bank,Interest rate concerns
987, Trust, Negative,app,other
988, Trust, Neutral,banking,Long Wait Times
989, Trust, Negative,banking,other
990, Trust, Negative,app,other
991, Trust, Negative,app,technical difficulties during registration and setup
992, Trust, Negative,app,other
993, Trust, Negative,app,user interface and design
994, Trust, Negative,app,technical glitches
995, Trust, Neutral,app,login issues
996, Trust, Negative,app,"UI/UX, technical glitches"
997, Trust, Negative,app,other
998, Trust, Negative,app,other
999, Trust, Negative,app,other
1000, Trust, Negative,app,login issues
1001, Trust, Negative,app,technical glitches
1002, Trust, Negative,app,UI/UX
1003, Trust, Negative,app,other
1004, Trust, Negative,app,other
1005, Trust, Negative,app,other
1006, Trust, Negative,app,other
1007, Trust, Negative,app,login issues
1008, Trust, Negative,app,other
1009, Trust, Negative,app,UI/UX
1010, Trust, Neutral,app,technical difficulties during registration and setup
1011, Trust, Negative,app,other
1012, Trust, Negative,app,other
1013, Trust, Negative,banking,UI/UX
1014, Trust, Negative,app,other
1015, Trust, Negative,app,technical glitches
1016, Trust, Negative,app,"user interface and design issues, technical glitches, long wait times, unhelpful responses from customer support"
1017, Trust, Negative,app,other
1018, Trust, Negative,banking,other
1019, Trust, Negative,app,other
1020, Trust, Negative,app,login issues
1021, Trust, Negative,app,other
1022, Trust, Neutral,app,"difficulty_applying_credit_card, savings_account"
1023, Trust, Negative,app,other
1024, Trust, Neutral,app,other
1025, Trust, Negative,app,other
1026, Trust, Negative,app,"UI/UX, performance"
1027, Trust, Positive,banking,
1028, Trust, Positive,app,
1029, Trust, Negative,app,Login issues
1030, Trust, Negative,app,other
1031, Trust, Negative,app,technical difficulties during registration and setup
1032, Trust, Neutral,app,other
1033, Trust, Neutral,app,other
1034, Trust, Negative,banking,unauthorized transactions
1035, Trust, Positive,none,
1036, Trust, Negative,app,other
1037, Trust, Negative,banking,other
1038, Trust, Negative,app,technical glitches
1039, Trust, Neutral,app,other
1040, Trust, Negative,app,technical glitches
1041, Trust, Negative,banking,application rejection
1042, Trust, Negative,app,technical glitches
1043, Trust, Neutral,app,"Difficulty applying credit card, savings account"
1044, Trust, Negative,app,other
1045, Trust, Negative,app,technical glitches
1046, Trust, Positive,app,
1047, Trust, Negative,app,other
1048, Trust, Negative,banking,other
1049, Trust, Negative,app,technical glitches
1050, Trust, Negative,banking,other
1051, Trust, Negative,banking,technical glitches
1052, Trust, Neutral,app,other
1053, Trust, Neutral,app,other
1054, Trust, Negative,banking,other
1055, Trust, Neutral,app,other
1056, Trust, Neutral,banking,Long Wait Times
1057, Trust, Negative,banking,technical glitches
1058, Trust, Negative,bank,other
1059, Trust, Positive,banking,
1060, Trust, Positive,app,
1061, Trust, Negative,app,login issues
1062, Trust, Negative,app,technical glitches
1063, Trust, Negative,app,other
1064, Trust, Positive,app,
1065, Trust, Neutral,app,transaction errors
1066, Trust, Negative,app,login issues
1067, Trust, Neutral,app,Difficulty applying credit card
1068, Trust, Positive,app,
1069, Trust, Negative,app,technical difficulties during registration and setup
1070, Trust, Positive,app,
1071, Trust, Negative,banking,other
1072, Trust, Positive,app,
1073, Trust, Negative,banking,Interest rate concerns
1074, Trust, Negative,app,other
1075, Trust, Positive,app,
1076, Trust, Negative,app,other
1077, Trust, Negative,app,technical glitches
1078, Trust, Positive,app,
1079, Trust, Negative,app,login issues
1080, Trust, Positive,app,
1081, Trust, Neutral,app,"difficulty_applying_credit_card, savings_account"
1082, Trust, Negative,app,other
1083, Trust, Negative,app,technical glitches
1084, Trust, Positive,app,
1085, Trust, Positive,none,
1086, Trust, Neutral,app,login issues
1087, Trust, Positive,app,
1088, Trust, Negative,app,technical glitches
1089, Trust, Negative,app,technical glitches
1090, Trust, Neutral,app,Difficulty applying credit card
1091, Trust, Neutral,app,other
1092, Trust, Negative,app,other
1093, Trust, Negative,app,technical glitches
