rowid,date,client,bank,rating,review,developer_response
48,2023-09-01 18:48:33,Apple,Trust,4.0,"Enhancement is required to further promote the use of the Trust debit/credit card for taking public transit (SimplyGo), the enhancement was: introducing the cash rebates initiative for SimplyGo public transport usage based on the spending tier of end of each month and giving the cashback on the next month, cashback given based on the usage on previous month","{'id': 38699341, 'body': 'Hi Kent Ming 17, thank you for your amazing feedback! 😍 We will take your suggestion into consideration for future enhancements. 💙 💜 ', 'modified': '2023-09-04T07:23:44Z'}"
49,2023-12-10 13:29:07,Apple,Trust,1.0,"I downloaded and deleted the app within 3 minutes because of extremely curt card application process. 

I was initially excited to apply for their credit card after my friend shared about it’s benefits when he used it overseas during a meetup.

I downloaded the app, provided my info via SingPass when applying for a credit card and was rejected within seconds. I spoke to a chat agent Zhi Ching who sent me a template reply (screenshot-ed it) that the reason why my application was rejected is confidential and to apply again in a few months. 

It was already suspicious how no clear guidelines for credit card application approval were listed, now there is no explanation why my application was rejected within seconds. My experience with this app was truly disappointing.","{'id': 40902314, 'body': 'Hi Haziq A., I am sorry to hear about your experience. I can assure you that all card applications go through an internal assessment process and we consider all applications carefully. However, I have noted on your feedback and will relay it to the relevant teams for improvements. As an alternative, you may consider applying for a savings account that comes along with a Trust Card. There will also be no forex fee as the purchase is made directly from the Trust Card. If that doesn’t work then call us at 313-TRUST (313-87878). We will be happy to assist! \n', 'modified': '2023-12-26T07:35:40Z'}"
50,2022-11-18 03:19:35,Apple,Trust,1.0,"Trust Bank can’t be trusted. The app doesn’t work most of the times. Basically you need the physical card to scan for link points. Tried to give the savings account a go and transfer money into the savings to pay the credit card bill after pairing the account. Basically after having a few hundred of dollars into the savings, the transfers to pay the card all didn’t work. Contacting customer service via the app didn’t work as well. Probably gg to report police for scam.","{'id': 33338348, 'body': 'Hi Danngkb, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem, please either contact us via chat or call from the app, or if that doesn’t work then call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙', 'modified': '2022-11-24T02:56:07Z'}"
51,2023-09-29 06:38:14,Apple,Trust,5.0,"When we were in MY, we used Trust for our major purchases as the exchange rate is almost on par with what we check on the website. Also the conversion is immediately reflected in the app and there is also notification on the spot. 👍🏻","{'id': 39255610, 'body': 'Hey jesslinegoh, thank you for your amazing feedback! 😍 Thank you for rating us 💙 💜', 'modified': '2023-10-02T06:56:43Z'}"
52,2022-08-31 22:50:42,Apple,Trust,5.0,Account opening process was unbelievably fast and smooth. The app is very well designed and I love the app UI and User experience elements. The app has all the functionalities you may want from a banking app (of course it’s a full digital bank). Kudos to the app development team!,"{'id': 31811354, 'body': ""Hey Rekha, we are so glad to hear that you like our UI and UX! 😍 We'll keep working hard to give our users more value! 💙 💜\n"", 'modified': '2022-09-04T01:12:29Z'}"
53,2024-02-15 15:16:29,Apple,Trust,1.0,Application pending status for a long time. It’s been over an hour. I called customer service & was told they can’t do anything as it’s up to the internal team & that NORMAL approval process can take 3 mins up to 5 working days!!! There seems to be inconsistencies coz my friends said their application was approved immediately within minutes even when they applied it on a public holiday at night. I’m really disappointed. Don’t even feel like signing up now.,"{'id': 42040235, 'body': ""Hi living888, we are extremely sorry to hear you had a bad experience. Please feel free to let us know what you need help with, and we'll try our very best to help you!"", 'modified': '2024-02-19T07:03:47Z'}"
54,2024-03-28 12:22:34,Apple,Trust,5.0,"Very easy to implement - I was offered this function and it’s so intuitive, I set it in 1 min and did the same for my wife. Considering we are senior citizens and have problems with other banking apps, this was really eye opening. Thanks Trust!",
55,2022-10-31 08:27:52,Apple,Trust,5.0,"While I want to open account until my info, after I agree then always show me something wrong please try later, even I uninstall and install or open my phone still cannot, what the hell?","{'id': 32537545, 'body': 'Hi piiywbskwmq, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem, please call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙', 'modified': '2022-10-12T16:50:53Z'}"
56,2022-09-23 14:50:19,Apple,Trust,5.0,"Love the app, espcially due to it's convenient. I can track the point every day, with ocbc its always a surprise and it makes me spend more because I don't want to loose on bonuses. Will be good to show us the update in real-time and not few days later","{'id': 32237841, 'body': 'Hey Aadish, thank you for your amazing feedback! 😍 Thank you for rating us 💙 💜\n', 'modified': '2022-09-26T14:41:54Z'}"
57,2023-01-20 03:04:01,Apple,Trust,5.0,"the card is informative . it provides info such as how much more to spend outside NTUC to qualify for the bonus .

it will be good if it can also prompt us expiring coupons 4-5 days before expiry so that we do not miss out the promotion or offer .","{'id': 34552684, 'body': 'Hey victoria lk, thank you for your amazing feedback! 😍 Thank you for rating us 💙 💜', 'modified': '2023-01-30T07:19:32Z'}"
58,2022-09-19 01:29:12,Apple,Trust,4.0,"I tried opening the application on iPhone 14 Pro but its showing a message ""Sorry, something went wrong. Please try again later. Tried restarting my phone but problem is not solved. I am able to open it on my other phone but not on this new phone.","{'id': 32160860, 'body': ""\u2028Hi Xavier, we are extremely sorry to hear you are facing problems 😔 Please uninstall your app, reinstall to the latest version, and select 'Log In'. If that doesn't work, please call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\n"", 'modified': '2022-09-22T02:41:59Z'}"
59,2022-12-26 07:22:06,Apple,Trust,1.0,"They take 5 mins minimally each time for them to respond to each question or feedback I gave, and I got to ask if they are there in order to know they are still assisting me. But the best part is when they can’t address your issue, their best solution - ask you if there is anything else they can assist you with, and in a blink of any eye, the CS quickly end the chat without giving you a chance to respond. Amazingly amazed!","{'id': 34053759, 'body': 'Hi Youneedtoreflect, thank you for your feedback! We will take your suggestion into consideration for future enhancements. 💙 \n\n', 'modified': '2023-01-03T02:14:03Z'}"
60,2022-09-05 16:58:11,Apple,Trust,5.0,"After i submit my info , i am stucked at the notification page and the app Trust is not on my notification center to on notification either. Please do something to fit it. Thank you","{'id': 31879172, 'body': 'Hi Jrjoez, we are sorry for the inconvenience caused 😔 We have identified and fixed an issue where some users were unable to log in or submit an application. Please go to the App Store and update your Trust App SG to version 1.0.4 when it appears. If the issue still persists, kindly call us at our Trust Hotline (313-87878). Thank you!\n', 'modified': '2022-09-07T01:07:14Z'}"
61,2022-09-25 11:41:57,Apple,Trust,5.0,"While downloading, I pressed “No” for notifications n this App just hang asking me to enable but there is no way to do it as the picture of an ice cream man just stuck there. Cannot do anything. I try to down load app again. It is still the same. Pl advise.","{'id': 32968884, 'body': 'Hi forget abt it, we are sorry that you are experiencing this 😔 Please do call us at 313-TRUST (313-87878) and we will assist you from there. Thank you once again for your feedback!  😊', 'modified': '2022-11-04T08:10:10Z'}"
62,2022-10-05 01:15:12,Apple,Trust,1.0,"I change to a new phone few days after i create an account in the apps. 
Try to use the new phone to login to the apps. There are only 1 option to login which is through Singpass but whenever i try, the app was showing “We are unable to log you in with Singpass right now. Please try again later”. However from the apps, this is the only way to login. Called customer service several time but no one answering the call.","{'id': 32543868, 'body': '\u2028Hi Dudu, we are extremely sorry to hear you are facing problems 😔 We have solved a few issues with the latest version- please update your app to version 1.0.10 in the App Store and try again. If that does not work, please call us from the app, or call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\n', 'modified': '2022-10-13T03:29:05Z'}"
63,2023-03-11 06:42:12,Apple,Trust,1.0,"One of the benefits that digital banking supposed to give to it's users is to allow usage of financial services even out of Singapore. Traveling is back to norm and it's getting common, yet trust bank disallows users to apply a credit card when traveling out of Singapore. This made this digital bank worst off than traditional banks that allows users to have access to digital services when traveling out of Singapore.",
64,2022-09-24 06:23:33,Apple,Trust,5.0,"This is the worst app I’ve ever used. After my application was successful, I was prompted to login. My credentials were accepted but the app took forever to load and does not allow me to reach the landing page. Super bad experience","{'id': 32293379, 'body': 'Hi milostylo2012, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem, please either contact us via chat or call from the app, or if that doesn’t work then call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\n', 'modified': '2022-09-29T06:49:03Z'}"
65,2022-12-14 12:45:05,Apple,Trust,5.0,"cos we dont have togo through the hassle of going to the bank etc. to make an acc and its really fast,still have to wait for the lhysical card but i like how my acc is activated literally after i created it,fast and efficient,but i do hope the physical c",
66,2022-10-13 17:04:53,Apple,Trust,1.0,"Waste of time actually. Standard chartered. Horrible bank. Truly recommend all local banks instead. Or Citibank. And not many branches as well. Yeap and I agree with the pending verifications. Why do U need such a long time ?In any case, real happy that I have deleted the app and in fact, after taking personal details I feel paranoid actually. Do give u my personal information when your app has so many bad feedbacks. How did SingPass ever approved a nonsense app like this","{'id': 32544313, 'body': '\u2028Hi nnbdbjsbsb, #supportlocal! We are indeed a local bank, registered and headquartered in Singapore. Thank you for your support! 😊💙\n', 'modified': '2022-10-13T04:15:23Z'}"
67,2022-09-16 00:49:08,Apple,Trust,1.0,"Very stupid app. Approved on Friday 09/09. Can’t load since then after login. Delete and redownload again and again but still unable to load. Thereafter, can’t even go through after login via Singpass. ‘We are unable to log you in via Singpass right now. We are working on it, please try again later’ Trust but cannot be trusted. Waste time.

***updated 16/09***
Followed ur advise in the reply and able to login now. Still find it stupid though. Thanks for the response anyways","{'id': 32113199, 'body': ""Hi heyhey1983, we're glad it works for you now. 😍 We hope you enjoy using your Trust App! 😊💙\n"", 'modified': '2022-09-20T01:35:21Z'}"
68,2024-02-23 03:09:28,Apple,Trust,4.0,Still long time pending request as future dated schedule payment option -please consider as it helps to pre plan the payment -please consider as keep asking long time same request,"{'id': 42196469, 'body': 'Hi pmkpillai76, thank you for your amazing feedback! 😍 We will take your suggestion into consideration for future enhancements. 💙 💜 \r\n\r\n\n\n', 'modified': '2024-02-26T06:49:24Z'}"
69,2022-12-19 16:10:31,Apple,Trust,2.0,"Not sure if I am the only one. This is my second month with Trust. To date, I still haven’t got my Dec statement in any app. After speaking to customer service, still nothing is updated. And I was told my due date is 28 Dec. Pls keep data updated and this concerns dollars and cents. And being a digital bank, this is more so important cos users are dependent on the app.",
70,2022-11-05 08:11:19,Apple,Trust,1.0,"The first month 7.5% rebate has been missing simply after a few days. There’s no clear indication that it’s by calendar month. Means if you sign up near the end of the month, u are out of luck. Due to heavy promotion activities there’s a lot of demand for this card. But I see long term risk with this bank as there’s no clear customer service, support or even a proper website with the bank. It’s all going through the phone app.","{'id': 33071139, 'body': 'Hi ehnyoyo, thank you for your feedback! We will take your suggestion into consideration for future enhancements. 💙 💜 \n\n', 'modified': '2022-11-09T16:44:03Z'}"
71,2022-10-05 19:47:18,Apple,Trust,1.0,"I have been using its credit card for a month and have been trying to pay the bill but to my horror, this app always stop me from adding its credit card account as payee. Kept saying my trust key is wrong and need to reset, then wait 12hrs per reset. When I tried to add payee on other banks’ app, they do not recognize trust bank. If the credit bill payment went overdue due to your lousy bank error, I will complain to CASE!","{'id': 32537994, 'body': 'Hi Wing Cher, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem, please either contact us via chat or call from the app, or if that doesn’t work then call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙', 'modified': '2022-10-12T17:25:00Z'}"
72,2022-09-10 02:24:50,Apple,Trust,1.0,"The moment I logged in, they ask me to create a credit card and when I cancelled it. The app takes forever to load when I logged in again to create a savings account. The app does nothing but just send dozens of emails and SMSes saying that I no longer can connect to the old device when it’s the same device. This isn’t possible cos I allowed the app to collect info and send me notifications all the time.","{'id': 31951214, 'body': ""\u2028Hi druid, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem, please either contact us via chat or call from the app, or if that doesn't work then call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\n"", 'modified': '2022-09-11T15:55:06Z'}"
73,2023-12-06 06:44:34,Apple,Trust,2.0,"Good exchange rates. Simple app. 

However the in-app chat CS is downright pathetic. She can’t understand my question after repeating myself THREE times, copy and pastes answers like a bot, and cuts the conversation short even though she never answered my question and didn’t give me a chance to respond. Just pastes an answer then says “if that’s all, I’ll be ending this chat.” And proceeds to quit the chat in less than 2 seconds.","{'id': 40609736, 'body': 'Hi Spilksch, we are sorry that you are experiencing this. Please do call us at 313-TRUST (313-87878) and we will assist you from there. Thank you once again for your feedback.\n', 'modified': '2023-12-11T08:06:36Z'}"
74,2023-02-21 12:05:11,Apple,Trust,1.0,"I applied for the credit card on the 1st day and till date, still has not been approved with multiple calls to their support with no resolution and multiple uninstall/reinstallation of the app as advised by their support. Every time they promised that there will be someone calling me back to update the situation but it has never happened. I give up. The scam calls that I get have better response than this.",
75,2023-03-01 12:28:34,Apple,Trust,5.0,"jus realised the mascots for each category vary in size depending on how much you spent, that’s so cute! since i’m using this card almost everyday all my expenses are recorded LOL saved the trouble of accounting in another app, great job on this!!","{'id': 35182751, 'body': 'Hi 7有米 , we are glad that you like our cute characters on our app! Thank you for rating us 💙 💜\n\n', 'modified': '2023-03-03T09:36:43Z'}"
76,2022-09-18 01:42:21,Apple,Trust,1.0,"Said to offer instant approval, it took 2 weeks to receive approval of savings account, after some irrelevant “verification”.

Wanted to move the sign-in of APP from iPad Air to my iPhone, was told by the in-APP team to delete my installation on iPad first which I did. Now I am locked out totally, even with the latest 1.0.7 update. 

Only mean to communicate with Trust Bank is via the help desk, which said will revert within 3 business days. Surely the bank can do much better?!","{'id': 32114352, 'body': ""\u2028Hi SGP Andy, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem quickly, please call us from the app, or if that doesn't work then call us at 313-TRUST (313-87878). We need this in order to investigate what is happening in your situation. We will be happy to assist! 😊💙\n"", 'modified': '2022-09-20T03:10:19Z'}"
77,2023-02-01 06:17:47,Apple,Trust,5.0,"Initially I thought the card would be useful for basically my shopping at NTUC. Soon I realised that there is a lot more to the card then just that. 
- convenience of card payment
- excellent vouchers and promotions
- no charge on forex transactions

I think the last point should be emphasised in marketing efforts as that is really a benefit especially for online bookings for holidays as well as use the same when on foreign trips. Even for children studying overseas this would be beneficial.","{'id': 34823055, 'body': 'Hey Neville Doti, thank you for your amazing feedback! 😍 Thank you for rating us 💙 💜', 'modified': '2023-02-13T02:54:41Z'}"
78,2022-11-09 18:31:15,Apple,Trust,1.0,"Referred friends to sign up, was issued the $10 FairPrice voucher but when I wanted to redeem at FairPrice, was told that the voucher was already redeemed before. Approach their super slow, inefficient and ineffective CS chat team, was told they will get back to me, which they didn’t. Worst, they like to close the chat and mark it as resolved each time just to achieve their service levels. This bank is crap. I will stop recommending my friends.","{'id': 33338361, 'body': 'Hi Marcietan, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem, please either contact us via chat or call from the app, or if that doesn’t work then call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙', 'modified': '2022-11-24T02:57:59Z'}"
79,2022-12-24 03:43:34,Apple,Trust,1.0,"I have been paying my bills before the stated date, and suddenly i got slammed with interest fees?! And I wasn’t informed that i had interest fees pending until I accidentally went into the app to see one day and realised i owed them money. I asked the in app CS chat and was informed it was cos i made partial payment and interest cannot be waived. Is that how you make money? I am cancelling the card. If you guys want link points, you can just download the NTUC app to get it.",
80,2022-09-29 08:51:30,Apple,Trust,5.0,"Super fast, easy to use, attractive reward programs, will definitely recommend to everyone around me. One suggestion though, get the GIRO pay and allow me to do schedule payment","{'id': 32544399, 'body': ""Hey Jatin, thank you for the feedback! 😍 Rest assured, we'll pass it on to our team! 💙 💜\n"", 'modified': '2022-10-13T04:26:30Z'}"
81,2023-03-04 02:32:08,Apple,Trust,1.0,I have a Trust saving account which is used to honour transactions purchased using Trust card. I noticed that all transactions tend to be in pending status and it took a couple of days for transactions to change to complete status. This issue need to be addressed by the developer as it derive user additional bonus interest. Transactions debited from saving should be complete status as funds already deducted from saving account.,"{'id': 35284682, 'body': 'Hi Kokck65, thank you for your amazing feedback! 😍 We will take your suggestion into consideration for future enhancements. 💙 💜 \n\n', 'modified': '2023-03-09T06:28:08Z'}"
82,2023-01-30 10:35:44,Apple,Trust,1.0,"Working in a bank and IT myself, I’ve never seen this so inefficient and so troublesome customer service. Chat starts for more than 2 mins, and if you’re already idle for more than a minute, customer service agent will end your convo. What is this?! My card has been blocked for 3 months and until now I don’t have any proper conversation nor resolution to my case. Wouldn’t recommend to my friends.",
83,2022-09-30 10:32:11,Apple,Trust,5.0,The interface is super clean and a lot more straightforward compared to other banks. Would be great to support scan & pay so I don't need to switch to other banks,"{'id': 32543904, 'body': ""Hi Roma, we're glad you like it too. 😍 We will look into adding Scan and Pay for sure! 😊💙\n"", 'modified': '2022-10-13T03:31:43Z'}"
84,2023-11-07 06:17:27,Apple,Trust,1.0,"One big flaw of Trust Bank app is the inability to automatically mark the voucher as “Redeemed” after using it. Users have to manually mark it as redeemed. This obviously raise possibility of human errors, and bringing inconvenience. 

Thousands of applications have successfully implemented this feature for the voucher to be automatically deleted from your account upon usage, but Trust Bank SG thought it was a good initiative to leave this out.","{'id': 40023795, 'body': 'Hi Zihao1998, thank you for your amazing feedback! 😍 We will take your suggestion into consideration for future enhancements. 💙 💜 ', 'modified': '2023-11-09T07:17:09Z'}"
85,2023-10-23 06:45:49,Apple,Trust,2.0,"Changed my phone 3 days ago.. multiple time trying to login TRUST app, but it’s not trust worthy.  Keep getting error message “ We are unable to log you in with
Singpass right now
We are working on it, please try again later.”, 

Call customer hotline after 3 days… but was told to wait 3 working for technical team to fix the issue?","{'id': 39722448, 'body': 'Hi Tns lah, we are sorry that you are experiencing this 😔Please do call us at 313-TRUST (313-87878) and we will assist you from there. Thank you once again for your feedback!  😊', 'modified': '2023-10-25T06:19:50Z'}"
86,2023-05-14 02:52:47,Apple,Trust,1.0,"Able to open bank account within a few minutes, however it is annoying that it send multiple notifications that you can’t disable, like a spam. That’s the only one feature keep annoying me every time I make a payment. Contacted support a few times but no positive reply, keep saying it’s a feature and nothing more can be done.","{'id': 36477433, 'body': ""Hi yhjhoo, we are extremely sorry to hear you had a bad experience 😔. Please feel free to let us know what you need help with, and we'll try our very best to help you! 😊💙 "", 'modified': '2023-05-12T07:20:35Z'}"
87,2022-09-28 15:30:47,Apple,Trust,3.0,"After logging in, my account is stuck on the loading page. 
Have tried restarting my phone, uninstalled and installed the app a few times, had to set new passcodes a each time.
Still can’t seem to get the app to work.

Can anyone help? Thanks","{'id': 32537740, 'body': 'Hi ssddffgghh123456, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem, please call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙 ', 'modified': '2022-10-12T17:08:34Z'}"
88,2023-11-10 01:55:52,Apple,Trust,4.0,"Dear Trust team
,  Can you pls fix this issue? It happened many times!!! About cannot use Trust Key in the app. When I input a new password, its says “something went wrong”.. many times. Why are we allowed to only use Face ID? Pls look into it. Thanks a lot!","{'id': 40117401, 'body': 'Hi Raden Didi, we are extremely sorry to hear you are facing problems 😔 For problems with logging in, please call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\n', 'modified': '2023-11-14T07:18:29Z'}"
89,2022-09-19 09:00:13,Apple,Trust,5.0,Get their credit card first then the savings account. Works fine for me and I really like the coupons feature!,"{'id': 32160914, 'body': ""Hi Chhaya, we're glad you like it too. 😍 Enjoy your coupons! 😊💙\n"", 'modified': '2022-09-22T02:44:05Z'}"
90,2022-09-03 06:18:03,Apple,Trust,3.0,"Well I downloaded it after rave reviews..signup was easy with my info..I opted for CC and after getting my info the app just froze saying pending review and will know outcome in 3 days..I thought of opening savings acct too which I couldn’t..Not sure why everyone’s saying Instant and how great etc., At best I find it ok so far..","{'id': 31817442, 'body': 'Hi VJ84, we are extremely sorry for your wait 😔. We are reviewing applications as quickly as we can. In the meantime, if you have any questions feel free to reach out to us at 313-TRUST (313-87878). We are happy to assist! 😊💙 ', 'modified': '2022-09-04T12:07:25Z'}"
91,2023-09-16 10:34:31,Apple,Trust,1.0,"After I returned from overseas, I realised I cannot log into the app. Using SingPass also cannot, error message is just “We are unable to log you in with SingPass right now” “We are working on it, please try again later.” 

Where is the passcode login option? Why am I not able to login even though I’ve had an account since last year?","{'id': 38973872, 'body': 'Hi ivatyw, we are extremely sorry to hear you are facing problems 😔 For problems with logging in, please call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙', 'modified': '2023-09-18T07:09:30Z'}"
92,2023-12-24 09:20:53,Apple,Trust,5.0,Many friends had good experiences with this card and functions. I signed up during the recent promo and got my ntuc voucher. Easy to sign up and use. Happy to recommend to friends.,"{'id': 40901090, 'body': 'Hi lost_memories, we are glad that you like our app. Thank you for rating us 💙 💜\r\n\r\n', 'modified': '2023-12-26T07:04:07Z'}"
93,2022-09-04 12:57:34,Apple,Trust,4.0,"Can’t open a credit card account if you open a savings account first. The other way seems to
work. Clean and nice interface otherwise.","{'id': 31854681, 'body': 'Hi Wysie_Soh, thank you for your review! We are working hard to allow savings account users to apply for a credit card as well through our app, and hope to offer this soon. If you need any other help, do call us at 313-TRUST (313-87878). We will be happy to assist you! 😊💙\n', 'modified': '2022-09-06T01:21:34Z'}"
94,2023-05-07 04:19:14,Apple,Trust,5.0,"I find it difficulty in using your apps. Though I now supported your card and always pay with ur apps card , I find it is not very user friendly to the layman.","{'id': 36410535, 'body': 'Hi Stacy Wee, we are extremely sorry to hear you are facing problems 😔 For any problems you encounter, please call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\r\n\r\n', 'modified': '2023-05-09T08:00:23Z'}"
95,2023-09-20 23:29:58,Apple,Trust,4.0,"Just got approved for the account & need to update my contact details. But somehow kicked out of the app & when tried to login again it said UNABLE TO LOG ME IN. 

What if i need urgent transaction. Not happy with it. Not reliable at all.","{'id': 39113890, 'body': 'Hi Not_Happy_Cust, we are extremely sorry to hear you are facing problems 😔 For problems with logging in, please call us at 313-TRUST (313-87878). We will be happy to assist!', 'modified': '2023-09-25T07:10:29Z'}"
96,2023-08-01 06:55:59,Apple,Trust,1.0,"This digital bank Trust rewards come with all sort of fine prints that’s misleading. e.g., redemption of coffee / tea at kopitiam is only applicable to some outlets. And the saving interest rate of this digital bank also filled with fine prints, making life difficult for customers having to perform activities for the bonus interest. There’s better digital banks out there, google for it and avoid this one for sure!","{'id': 38068951, 'body': ""Hi stylex7, we are extremely sorry to hear you had a bad experience 😔. Please feel free to let us know what you need help with, and we'll try our very best to help you! 😊💙 "", 'modified': '2023-08-03T07:46:35Z'}"
97,2023-03-04 10:15:19,Apple,Trust,1.0,"While I appreciate the effort to make the design fresh and modern, I find it difficult to navigate the app. I often get lost when trying to find coupons for FairPrice or checking my latest transactions. Tapping something brings you somewhere you dont know, and feels like the only way to get there is to tap Home and retrace your step. What more if I have to do a qr payment?","{'id': 35284701, 'body': ""Hi mrk012 thank you for your feedback! 😊 We are working on it to improve your user experience. You can find QR payment as part of a quick shortcut on your prelogin screen. You can also find it under Payments hub. If that doesn't work, do call us at 313-TRUST (313-87878). We will be happy to assist you! 💙\n\n"", 'modified': '2023-03-09T06:29:19Z'}"
98,2023-01-08 06:54:54,Apple,Trust,1.0,"I had downloaded this app about 3 months ago. It seem to work fine, for pass 3 months ago. By recognise via face unlocked, each time I try to check transaction on my mobile. 
Recently I realised the face recognise. Doesn’t work anymore! Which I had to input password each time. I had check my setting on my mobile Face ID recognise are switch on. Please fix this errors.",
99,2022-12-20 09:57:11,Apple,Trust,5.0,After linking my singpass to register and clicking ‘I Agree’ there’s a pop-up says something went wrong. please try again later.,"{'id': 34053659, 'body': 'Hi netwosoon, we are sorry that you are experiencing this 😔Please do call us at 313-TRUST (313-87878) and we will assist you from there. Thank you once again for your feedback!  😊\n\n', 'modified': '2023-01-03T02:10:01Z'}"
100,2022-10-15 15:56:31,Apple,Trust,5.0,"Received email saying I am in after long application pending for credit card. But it says I am not on when I try to login. Called customer service, no help.","{'id': 32543881, 'body': ""\u2028Hi LFMLJK, we are extremely sorry to hear you are facing problems 😔 We are facing very high volumes now; try to avoid resubmitting an application as that will put you to the back of the queue again. If you need more help, please call us from the app, or if that doesn't work then call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\n"", 'modified': '2022-10-13T03:29:53Z'}"
101,2022-09-19 08:50:13,Apple,Trust,5.0,The app’s navigation was confusing at first but I appreciate seeing the Rewards up front instead of having to hunt for it like other banks app do.,"{'id': 32160896, 'body': ""Hi Teena Chhabra, we're glad you like it too. 😍 Enjoy your freebies! 😊💙"", 'modified': '2022-09-22T02:43:28Z'}"
102,2024-01-28 23:46:32,Apple,Trust,5.0,The payment notification approval does not say anything about what to approve what amount which merchant...a very dangerous feature...especially with card hijacking.,"{'id': 41624517, 'body': 'Hi joellprieto, thank you for your feedback. Rest assured that we are always working on improving our user experience and your valuable feedback will be relayed to the relevant team for their review! Meantime, if you notice any suspicious payment notification, please contact us via chat or call from the app immediately. We will be happy to assist! 😊💙', 'modified': '2024-01-30T09:31:08Z'}"
103,2022-09-10 14:40:46,Apple,Trust,5.0,I helped my mom get their savings account. Seems decent for seniors. Even their debit card can get linkpoints. Good enough la since i don’t shop at ntuc that often. Something better than nothing.,"{'id': 31955082, 'body': ""Hi Bishnu, we're glad you like it too. 😍 Enjoy your Linkpoints! 😊💙\n"", 'modified': '2022-09-12T02:38:18Z'}"
104,2022-10-01 07:05:59,Apple,Trust,1.0,"App doesnt work and credit card isnt instant approval and it causes other apps to have issues. App probably got bugs. Also; your singpass may be affected, well at least mine did. Download at your own risk.

Update: So my singpass did get affected and its due to bugs from this app. Its also constantly retrieving your details and messes up your details and information. High risk and im never trusting this UNTRUSTED App or bank again.","{'id': 32161068, 'body': ""\u2028Hi SomethingBetterPls, we are extremely sorry to hear you are facing problems 😔 For us to investigate your problem quickly, please call us from the app, or if that doesn't work then call us at 313-TRUST (313-87878). We will be happy to assist! 😊💙\n"", 'modified': '2022-09-22T03:00:41Z'}"
105,2022-09-04 05:40:34,Apple,Trust,5.0,I can’t seem to add credit card after I open a savings account. Online chat or call got no response either.,"{'id': 31844356, 'body': 'Hi adaxfcf, thank you for your review! We are working hard to allow savings account users to apply for a credit card as well through our app, and hope to offer this soon. If you need any other help, do call us at 313-TRUST (313-87878). We will be happy to assist you! 😊💙\n', 'modified': '2022-09-05T12:48:52Z'}"
106,2023-11-22 17:15:14,Apple,Trust,1.0,It’s easy to get slapped with a late payment charge. Funny thing is the app notification tells you are have been slapped with a penalty but doesn’t remind you to make payment. What’s more they only waive the penalty for one time..2nd time and there’s no more waiver. A $100 slapped for a $14 spend on the card. Ridiculous. Effinn ridiculous. That’s how this ‘bank’ makes money by low infrastructure cost and inflexible policies,"{'id': 40316120, 'body': 'Hi kkkwming, we are sorry that you are experiencing this. Please do call us at 313-TRUST (313-87878) and we will assist you from there. Thank you once again for your feedback!  ', 'modified': '2023-11-24T07:04:42Z'}"
107,2022-09-12 14:41:20,Apple,Trust,5.0,There are still some kinks to iron out with the linkpoints process in store especially since I’m only using the digital card. But app wise it’s user friendly.,"{'id': 32041693, 'body': ""Hi Gulab, we're glad you like it too. 😍 Enjoy your Linkpoints! 😊💙\n"", 'modified': '2022-09-15T15:48:31Z'}"
108,2022-09-02 11:29:40,Apple,Trust,1.0,"Cannot seem to login to the app. It just keeps loading and loading and loading after i entered my details. Tried so many times but there is no other ways to get help because firstly, to get help you need to be ""inside"" the app to chat with their support but how am i even be able to be ""inside"" their app to get help about a login problem?","{'id': 31874912, 'body': 'Hi frustrated fella, we are sorry for the inconvenience caused 😔 We have identified and fixed an issue where some users were unable to log in or submit an application. Please go to the App Store and update your Trust App SG to version 1.0.4 when it appears. If the issue still persists, kindly call us at our Trust Hotline (313-87878). Thank you!\n', 'modified': '2022-09-06T17:37:13Z'}"
109,2023-01-01 02:31:01,Apple,Trust,1.0,You’re better off using the services of other banks. Seems like the entire venture was suddenly thrown at personnel members so they were not at all prepared nor willing to help with the difficulties you encountered. No point going to their parent bank either for help. Tried to give it a chance even after reading the negative reviews but the reviews were not proven otherwise.,
